	larva(0)
mom_x(477)	890
mom_x(478)	890
mom_x(479)	889
mom_x(480)	888
mom_x(481)	887
mom_x(482)	887
mom_x(483)	886
mom_x(484)	886
mom_x(485)	886
mom_x(486)	884
mom_x(487)	885
mom_x(488)	885
mom_x(489)	885
mom_x(490)	885
mom_x(491)	885
mom_x(492)	885
mom_x(493)	885
mom_x(494)	886
mom_x(495)	887
mom_x(496)	887
mom_x(497)	888
mom_x(498)	888
mom_x(499)	888
mom_x(500)	889
mom_x(501)	889
mom_x(502)	890
mom_x(503)	891
mom_x(504)	891
mom_x(505)	891
mom_x(506)	891
mom_x(507)	892
mom_x(508)	893
mom_x(509)	893
mom_x(510)	893
mom_x(511)	893
mom_x(512)	894
mom_x(513)	894
mom_x(514)	894
mom_x(515)	894
mom_x(516)	893
mom_x(517)	893
mom_x(518)	893
mom_x(519)	892
mom_x(520)	892
mom_x(521)	891
mom_x(522)	890
mom_x(523)	890
mom_x(524)	890
mom_x(525)	890
mom_x(526)	890
mom_x(527)	890
mom_x(528)	891
mom_x(529)	891
mom_x(530)	891
mom_x(531)	891
mom_x(532)	892
mom_x(533)	892
mom_x(534)	892
mom_x(535)	892
mom_x(536)	892
mom_x(537)	893
mom_x(538)	893
mom_x(539)	894
mom_x(540)	894
mom_x(541)	893
mom_x(542)	893
mom_x(543)	892
mom_x(544)	892
mom_x(545)	892
mom_x(546)	891
mom_x(547)	891
mom_x(548)	891
mom_x(549)	890
mom_x(550)	889
mom_x(551)	889
mom_x(552)	890
mom_x(553)	890
mom_x(554)	891
mom_x(555)	892
mom_x(556)	893
mom_x(557)	893
mom_x(558)	893
mom_x(559)	894
mom_x(560)	895
mom_x(561)	895
mom_x(562)	896
mom_x(563)	897
mom_x(564)	897
mom_x(565)	899
mom_x(566)	899
mom_x(567)	899
mom_x(568)	899
mom_x(569)	900
mom_x(570)	900
mom_x(571)	901
mom_x(572)	902
mom_x(573)	903
mom_x(574)	905
mom_x(575)	904
mom_x(576)	904
mom_x(577)	904
mom_x(578)	905
mom_x(579)	902
mom_x(580)	900
mom_x(581)	899
mom_x(582)	898
mom_x(583)	897
mom_x(584)	897
mom_x(585)	894
mom_x(586)	892
mom_x(587)	891
mom_x(588)	891
mom_x(589)	891
mom_x(590)	892
mom_x(591)	893
mom_x(592)	893
mom_x(593)	894
mom_x(594)	894
mom_x(595)	893
mom_x(596)	893
mom_x(597)	894
mom_x(598)	894
mom_x(599)	893
mom_x(600)	894
mom_x(601)	895
mom_x(602)	894
mom_x(603)	894
mom_x(604)	895
mom_x(605)	895
mom_x(606)	895
mom_x(607)	895
mom_x(608)	895
mom_x(609)	895
mom_x(610)	896
mom_x(611)	896
mom_x(612)	896
mom_x(613)	896
mom_x(614)	893
mom_x(615)	893
mom_x(616)	892
mom_x(617)	892
mom_x(618)	893
mom_x(619)	893
mom_x(620)	893
mom_x(621)	893
mom_x(622)	895
mom_x(623)	897
mom_x(624)	897
mom_x(625)	897
mom_x(626)	897
mom_x(627)	897
mom_x(628)	897
mom_x(629)	897
mom_x(630)	897
mom_x(631)	897
mom_x(632)	896
mom_x(633)	895
mom_x(634)	895
mom_x(635)	895
mom_x(636)	895
mom_x(637)	895
mom_x(638)	895
mom_x(639)	896
mom_x(640)	896
mom_x(641)	897
mom_x(642)	898
mom_x(643)	898
mom_x(644)	898
mom_x(645)	898
mom_x(646)	898
mom_x(647)	899
mom_x(648)	899
mom_x(649)	899
mom_x(650)	900
mom_x(651)	900
mom_x(652)	899
mom_x(653)	900
mom_x(654)	900
mom_x(655)	900
mom_x(656)	900
mom_x(657)	900
mom_x(658)	900
mom_x(659)	898
mom_x(660)	898
mom_x(661)	898
mom_x(662)	897
mom_x(663)	898
mom_x(664)	898
mom_x(665)	898
mom_x(666)	898
mom_x(667)	898
mom_x(668)	897
mom_x(669)	897
mom_x(670)	897
mom_x(671)	896
mom_x(672)	896
mom_x(673)	896
mom_x(674)	895
mom_x(675)	894
mom_x(676)	894
mom_x(677)	895
mom_x(678)	895
mom_x(679)	892
mom_x(680)	892
mom_x(681)	893
mom_x(682)	896
mom_x(683)	897
mom_x(684)	900
mom_x(685)	904
mom_x(686)	907
mom_x(687)	908
mom_x(688)	909
mom_x(689)	910
mom_x(690)	911
mom_x(691)	911
mom_x(692)	911
mom_x(693)	912
