Method name: INIMS_ExiCyToxAssay_RTG_Lars_Binkle_790_464_																																																	
Application: SparkControl				1.1																																													
Device: SPARK 10M				Serial number: 1511007580																																													
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																													
 																																																	
Date: 				2017-06-22																																													
Time: 				10:32																																													
System 				PC-2WPML82																																													
User 				NT-AUTORITÄT\NETZWERKDIENST																																													
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																													
Lid lifter 				Removable lid 																																													
Humidity Cassette 				No humidity cassette 																																													
																																																	
List of actions in this measurement script:																																																	
Plate																																																	
	Temperature																																																
	Gas 																																																
	User intervention																																																
	Kinetic																																																
		Luminescence				RTG																																											
		Condition																																															
			User intervention																																														
																																																	
Plate layout																																																	
Name				GRE96fw_chimney																																													
																																																	
C3	842	13019	20936	24722	25659	26586	26411	26738	26942	27237	27965	27746	28771	28882	29257	29293	29750	30223	30786	31133	30961	31011	31604	31843	31882	32260	32446	32428	32415	32622	32472	32226	32270	32121	32317	32285	32324	32688	32379	32625	32932	32968	33140	32840	33172	33061	33645	33479	33081
C4	732	6037	11414	14951	18557	20829	21995	22798	24056	24338	25430	26588	25999	26875	27562	27781	28469	28342	28481	28685	28982	29517	29408	29829	29922	30172	30628	30070	30456	30494	30624	31210	30761	30901	31056	31185	31452	31555	31679	31873	31805	31873	31931	31840	31829	32080	32396	32699	33196
C5	648	6866	12521	16396	20231	23283	25065	26300	27249	28144	29450	30205	30711	31285	32179	32667	32708	33392	33567	34726	35193	34845	34917	35700	35864	36025	36485	36790	36647	36938	36823	37085	37333	37243	37462	37743	38456	38284	38426	39321	38361	38708	38765	39006	39116	39267	39546	39562	39539
C6	788	6301	12190	16352	20246	22814	25111	25661	26628	27471	27988	29836	28935	28126	27850	26934	26010	24620	24260	23728	23632	23661	23665	24068	23826	23837	24275	24558	24413	24762	24727	24331	24763	24780	24732	24963	24906	24874	25330	25004	25236	24600	25068	24920	25259	25061	25196	25733	25212
C7	582	5938	11041	14888	18482	20971	23178	24510	24982	26630	26390	28728	28788	28801	28663	28722	28054	27472	27238	27079	26940	27044	27355	27768	27327	27288	27672	27889	27797	28088	28186	28392	28844	28177	28073	28465	28483	28669	28238	28481	28519	28569	29000	28566	28955	28888	29040	28922	29271
C8	793	6475	11343	15079	17375	20213	21444	22752	24666	25682	26341	27163	27740	28100	28537	29260	29315	29855	29976	30392	30719	30925	31250	31232	31186	31659	32169	32164	31929	32068	32370	32182	32462	32581	32595	33255	33207	32911	32653	33155	33417	32822	33087	33304	33254	33367	33241	33817	33833
C9	659	5805	10730	13955	16440	18424	19933	21510	22627	23832	24781	25404	25669	26072	26743	26809	27121	27661	27881	27936	28443	28763	28694	29481	28929	29368	29667	29869	29661	29686	29960	30356	30376	30527	30585	30683	30788	30526	30788	30881	30864	30824	31024	31301	31233	31293	31438	31214	31389
C10	571	5484	9940	12568	14847	16771	17952	19427	20086	20756	21530	23509	22866	22753	22152	22010	21024	20730	20133	20178	19973	19981	20209	20148	20707	20255	20495	20491	20814	20637	20815	20929	21028	20858	20928	21139	21449	21344	21465	21437	21476	21318	21319	21581	21703	21473	21374	21699	21865
C11	624	5280	9784	13074	15918	17798	20052	21471	22465	23222	24537	26982	26063	25981	25754	25475	25303	25183	25250	25188	25215	25254	25599	25920	25853	25654	26138	26295	26186	26244	26588	26505	26772	27163	26909	27130	27096	27219	27130	26799	27290	27283	27800	27774	27592	27639	27796	27615	27625
C12																																																	
D1																																																	
D2	685	10424	16593	18771	20722	21982	22297	22493	23394	23224	24545	22305	20885	20384	20134	19228	18158	17045	16569	16166	16352	16440	16350	16611	16717	16582	16677	16693	16712	16724	16588	16636	16550	17005	16586	16738	16958	16647	16904	16856	16828	16913	16992	16785	16532	16929	16744	16546	16857
D3	960	13172	22198	26104	26570	26983	26829	26726	27661	28043	28407	26842	25574	25379	24854	24157	23482	22547	21794	21892	21493	21872	21706	22195	22100	22113	22234	22573	22560	22593	22751	22486	22800	22781	22704	22662	22595	22644	22771	22974	23027	22691	22630	22923	23135	22909	23131	23269	23178
D4	1111	13055	21845	26104	27685	28973	29510	30329	30807	31993	32350	32320	32456	33143	33355	34039	34259	34323	34541	35281	35308	35334	35465	35619	35918	35366	36219	35458	36248	35428	36807	35661	37285	36302	36593	36797	36393	36585	36710	36931	36568	37169	36694	36771	37065	37000	37018	37387	37120
D5	989	12828	21893	26485	28287	29340	30452	31392	32476	32975	33866	34140	35159	35792	36820	37227	38089	38319	38897	39003	39822	40085	39606	40479	40052	40345	40792	40540	40285	40449	40419	40961	41242	42095	41233	41376	42602	42113	42008	42605	42584	42539	42614	42407	42946	42865	42884	43323	43762
D6	965	11216	19919	24610	27038	28094	29215	29815	30292	30993	31690	32079	31124	30885	30570	30134	29293	28579	28985	29295	28754	28792	28999	29180	29240	30075	29489	30099	29370	29698	30166	29939	30327	30535	30450	30331	30454	30604	30353	30789	30767	30709	30958	31004	31007	31668	31547	31639	32025
