Method name: masterkurs2018_n2a_undifferentiated																																														
Application: SparkControl				1.1																																										
Device: SPARK 10M				Serial number: 1511007580																																										
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																										
 																																														
Date: 				2018-01-10																																										
Time: 				11:00																																										
System 				PC-2WPML82																																										
User 				NT-AUTORITÄT\NETZWERKDIENST																																										
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																										
Lid lifter 				Removable lid 																																										
Humidity Cassette 				No humidity cassette 																																										
																																														
List of actions in this measurement script:																																														
Plate																																														
	Temperature																																													
	Gas 																																													
	User intervention																																													
	Kinetic																																													
		Luminescence				RTG																																								
		Condition																																												
			User intervention																																											
																																														
Plate layout																																														
Name				GRE96fw_chimney																																										
																																														
C3	10745	100557	137242	145244	159313	169418	175773	168226	180134	182411	184354	186636	189533	191771	193890	196210	197386	197731	198403	200470	200645	202197	202922	203471	206226	205730	207690	208910	209693	209843	212740	213727	214494	216318	217950	220318	220916	223415	225963	228119	230336	233626	236038	238892	240666	243405
C4	9456	105389	148959	163657	181596	192060	200469	187446	202107	204790	208073	212400	215439	217883	219823	221183	222208	222618	223896	225962	226198	226782	228272	228927	229827	231914	231720	234119	234052	237386	236556	238438	240686	242210	242539	245673	247034	248575	252197	253052	255700	258628	260693	264027	266213	269877
C5	8965	85227	114947	127279	139827	148680	155753	147530	159919	163641	164789	167998	170380	171934	174509	175169	176736	177752	178665	180112	181016	181942	183110	184876	185372	185686	186781	187942	187786	189559	192968	193269	195901	195968	197456	199756	200029	202634	203583	204288	207471	210607	211978	212626	215784	217458
C6	7235	94952	144689	165244	186645	200043	210463	195855	212886	218418	222076	225883	229356	230983	234770	236098	238986	238740	239265	241894	242260	242854	244932	245434	246836	247078	248798	249769	251247	252394	253405	254175	255901	256757	259203	260912	263632	264325	265823	268133	270103	273462	275993	276612	280981	284640
C7	9422	96806	149828	171949	192553	205571	215711	201889	217835	222916	223785	226836	229072	230519	232989	234234	235196	235674	236615	238139	238232	238790	239724	239780	241253	241438	241849	243650	245525	245612	247137	245895	247144	250377	250726	252003	254478	256185	257080	259829	261567	263294	265884	267540	269072	272781
C8	9407	89377	132826	152748	172778	185016	194400	182261	196318	200288	202117	204857	207060	212146	213539	214037	215440	216047	218058	217536	218435	218946	219284	220262	222053	222272	223135	223642	225271	225675	226815	227906	228062	228260	231566	233801	234521	235844	237258	239894	240886	244286	245862	246285	249379	251501
C9	9178	85167	130268	146054	165066	177382	185441	177996	189411	192928	195479	197310	200247	200907	204188	206046	207555	206986	207953	208651	209940	210279	210832	211049	211782	212464	213389	215294	215063	215755	217263	217229	218665	220446	220009	222480	224169	225376	226866	228239	230256	231803	233256	234724	238081	240293
C10	8098	91309	133836	148195	165080	175890	183836	184272	191392	197970	202713	207073	208684	210330	212986	216486	218196	219256	219712	222908	224258	227071	228889	231376	233277	235057	237253	239395	242872	245036	247958	250066	252624	255310	260490	262519	265737	268441	272073	274806	278020	280382	284686	287019	289915	293987
C11	6325	72988	107044	117991	132228	142781	151081	155007	159519	164058	168635	172339	173837	176055	178238	180606	181044	183492	184379	185342	187814	188980	189820	192273	193605	196037	197072	199608	201691	204238	206534	209120	211455	213714	216432	218329	221390	224744	227298	230345	232083	235182	238211	241557	244824	247327
C12	496	1272	1505	1612	1916	1982	2234	2370	2511	2729	2892	3008	3078	3298	3436	3491	3664	3753	3901	3878	3867	4042	4136	4156	4362	4431	4410	4593	4564	4732	4721	4911	5018	5080	5073	5258	5337	5410	5458	5518	5527	5752	5953	6029	6012	6148
